game_id,date,home_club_id,away_club_id,homeTeamID,awayTeamID,gameID
3081260,2019-02-10,800,2722,107,221,9797.0
3080793,2019-02-11,1108,3368,158,151,10185.0
3050416,2019-02-11,543,762,229,86,9450.0
3047750,2019-02-13,618,667,175,225,10869.0
3047743,2019-02-13,1162,995,165,168,10863.0
3081265,2019-02-15,506,8970,98,112,9812.0
3080804,2019-02-15,1533,3709,156,142,10194.0
3047765,2019-02-15,1041,855,178,169,10887.0
3047768,2019-02-15,1160,2969,235,181,10890.0
3058609,2019-02-15,167,27,121,117,10531.0
3058604,2019-02-16,533,42,120,128,10526.0
3047766,2019-02-16,244,1416,164,224,10888.0
3058610,2019-02-16,82,39,131,125,10532.0
3047767,2019-02-16,162,995,171,168,10889.0
3058603,2019-02-16,33,60,124,135,10534.0
3080810,2019-02-16,681,1244,140,159,10188.0
3080802,2019-02-16,131,366,148,231,10187.0
3047761,2019-02-16,1420,417,167,170,10883.0
3058608,2019-02-16,44,86,122,123,10530.0
3080807,2019-02-16,367,13,145,143,10191.0
3058606,2019-02-16,79,23826,133,136,10528.0
3080803,2019-02-16,940,3368,152,151,10195.0
3081267,2019-02-16,800,5,107,111,9807.0
3081268,2019-02-16,1390,130,116,230,9808.0
3080809,2019-02-17,418,12321,150,223,10189.0
3080808,2019-02-17,1049,714,146,141,10190.0
3047762,2019-02-17,40,415,176,174,10884.0
3080811,2019-02-17,1050,368,154,138,10196.0
3081269,2019-02-17,46,1038,106,102,9811.0
3081270,2019-02-17,749,6574,108,104,9809.0
3047764,2019-02-17,1082,969,160,166,10886.0
